Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
reqSorceryFireLevel09,progression,Attribute,,,"[dc6e00]Fire[-] Sorcery Level 9",,,,,,,,,,,,,,
reqSorceryFireLevel10,progression,Attribute,,,"[dc6e00]Fire[-] Sorcery Level 10 ([e60000]Master[-])",,,,,,,,,,,,,,
reqSorceryIceLevel01,progression,Attribute,,,"[006eaa]Ice[-] Sorcery Level 1",,,,,,,,,,,,,,
reqSorceryIceLevel02,progression,Attribute,,,"[006eaa]Ice[-] Sorcery Level 2 ([2f9970]Initiate[-])",,,,,,,,,,,,,,
reqSorceryIceLevel03,progression,Attribute,,,"[006eaa]Ice[-] Sorcery Level 3",,,,,,,,,,,,,,
reqSorceryIceLevel04,progression,Attribute,,,"[006eaa]Ice[-] Sorcery Level 4 ([36dc2a]Novice[-])",,,,,,,,,,,,,,
reqSorceryIceLevel05,progression,Attribute,,,"[006eaa]Ice[-] Sorcery Level 5",,,,,,,,,,,,,,
reqSorceryIceLevel06,progression,Attribute,,,"[006eaa]Ice[-] Sorcery Level 6 ([407fff]Adept[-])",,,,,,,,,,,,,,
reqSorceryIceLevel07,progression,Attribute,,,"[006eaa]Ice[-] Sorcery Level 7",,,,,,,,,,,,,,
reqSorceryIceLevel08,progression,Attribute,,,"[006eaa]Ice[-] Sorcery Level 8 ([ba3fd0]Expert[-])",,,,,,,,,,,,,,
reqSorceryIceLevel09,progression,Attribute,,,"[006eaa]Ice[-] Sorcery Level 9",,,,,,,,,,,,,,
reqSorceryIceLevel10,progression,Attribute,,,"[006eaa]Ice[-] Sorcery Level 10 ([e60000]Master[-])",,,,,,,,,,,,,,
reqSorceryLightningLevel01,progression,Attribute,,,"[9650ff]Lightning[-] Sorcery Level 1",,,,,,,,,,,,,,
reqSorceryLightningLevel02,progression,Attribute,,,"[9650ff]Lightning[-] Sorcery Level 2 ([2f9970]Initiate[-])",,,,,,,,,,,,,,
reqSorceryLightningLevel03,progression,Attribute,,,"[9650ff]Lightning[-] Sorcery Level 3",,,,,,,,,,,,,,
reqSorceryLightningLevel04,progression,Attribute,,,"[9650ff]Lightning[-] Sorcery Level 4 ([36dc2a]Novice[-])",,,,,,,,,,,,,,
reqSorceryLightningLevel05,progression,Attribute,,,"[9650ff]Lightning[-] Sorcery Level 5",,,,,,,,,,,,,,
reqSorceryLightningLevel06,progression,Attribute,,,"[9650ff]Lightning[-] Sorcery Level 6 ([407fff]Adept[-])",,,,,,,,,,,,,,
reqSorceryLightningLevel07,progression,Attribute,,,"[9650ff]Lightning[-] Sorcery Level 7",,,,,,,,,,,,,,
reqSorceryLightningLevel08,progression,Attribute,,,"[9650ff]Lightning[-] Sorcery Level 8 ([ba3fd0]Expert[-])",,,,,,,,,,,,,,
reqSorceryLightningLevel09,progression,Attribute,,,"[9650ff]Lightning[-] Sorcery Level 9",,,,,,,,,,,,,,
reqSorceryLightningLevel10,progression,Attribute,,,"[9650ff]Lightning[-] Sorcery Level 10 ([e60000]Master[-])",,,,,,,,,,,,,,
reqSorceryUnholyLevel01,progression,Attribute,,,"[823030]Unholy[-] Sorcery Level 1",,,,,,,,,,,,,,
reqSorceryUnholyLevel02,progression,Attribute,,,"[823030]Unholy[-] Sorcery Level 2 ([2f9970]Initiate[-])",,,,,,,,,,,,,,
reqSorceryUnholyLevel03,progression,Attribute,,,"[823030]Unholy[-] Sorcery Level 3",,,,,,,,,,,,,,
reqSorceryUnholyLevel04,progression,Attribute,,,"[823030]Unholy[-] Sorcery Level 4 ([36dc2a]Novice[-])",,,,,,,,,,,,,,
reqSorceryUnholyLevel05,progression,Attribute,,,"[823030]Unholy[-] Sorcery Level 5",,,,,,,,,,,,,,
reqSorceryUnholyLevel06,progression,Attribute,,,"[823030]Unholy[-] Sorcery Level 6 ([407fff]Adept[-])",,,,,,,,,,,,,,
reqSorceryUnholyLevel07,progression,Attribute,,,"[823030]Unholy[-] Sorcery Level 7",,,,,,,,,,,,,,
reqSorceryUnholyLevel08,progression,Attribute,,,"[823030]Unholy[-] Sorcery Level 8 ([ba3fd0]Expert[-])",,,,,,,,,,,,,,
reqSorceryUnholyLevel09,progression,Attribute,,,"[823030]Unholy[-] Sorcery Level 9",,,,,,,,,,,,,,
reqSorceryUnholyLevel10,progression,Attribute,,,"[823030]Unholy[-] Sorcery Level 10 ([e60000]Master[-])",,,,,,,,,,,,,,
reqSorceryHolyLevel01,progression,Attribute,,,"[c6b88f]Holy[-] Sorcery Level 1",,,,,,,,,,,,,,
reqSorceryHolyLevel02,progression,Attribute,,,"[c6b88f]Holy[-] Sorcery Level 2 ([2f9970]Initiate[-])",,,,,,,,,,,,,,
reqSorceryHolyLevel03,progression,Attribute,,,"[c6b88f]Holy[-] Sorcery Level 3",,,,,,,,,,,,,,
reqSorceryHolyLevel04,progression,Attribute,,,"[c6b88f]Holy[-] Sorcery Level 4 ([36dc2a]Novice[-])",,,,,,,,,,,,,,
reqSorceryHolyLevel05,progression,Attribute,,,"[c6b88f]Holy[-] Sorcery Level 5",,,,,,,,,,,,,,
reqSorceryHolyLevel06,progression,Attribute,,,"[c6b88f]Holy[-] Sorcery Level 6 ([407fff]Adept[-])",,,,,,,,,,,,,,
reqSorceryHolyLevel07,progression,Attribute,,,"[c6b88f]Holy[-] Sorcery Level 7",,,,,,,,,,,,,,
reqSorceryHolyLevel08,progression,Attribute,,,"[c6b88f]Holy[-] Sorcery Level 8 ([ba3fd0]Expert[-])",,,,,,,,,,,,,,
reqSorceryHolyLevel09,progression,Attribute,,,"[c6b88f]Holy[-] Sorcery Level 9",,,,,,,,,,,,,,
reqSorceryHolyLevel10,progression,Attribute,,,"[c6b88f]Holy[-] Sorcery Level 10 ([e60000]Master[-])",,,,,,,,,,,,,,

reqSorceryUnlockElixirAttFire,progression,Attribute,,,"[U]Requires[/U]: [36dc2a]Fire Skill Elixir[-]",,,,,,,,,,,,,,
reqSorceryUnlockElixirAttIce,progression,Attribute,,,"[U]Requires[/U]: [36dc2a]Ice Skill Elixir[-]",,,,,,,,,,,,,,
reqSorceryUnlockElixirAttLightning,progression,Attribute,,,"[U]Requires[/U]: [36dc2a]Lightning Skill Elixir[-]",,,,,,,,,,,,,,

reqSorcerySupportLevel01,progression,Perk,,,"[d7dce4]SILVER KEY[-]: www.SorceryMod.com",,,,,,,,,,,,,,
reqSorcerySupportLevel02,progression,Perk,,,"[e3bb70]GOLD KEY[-]: www.SorceryMod.com",,,,,,,,,,,,,,


buffSpiritResourceName,buffs,Buff,,x,"[d1d1d1]SPIRIT RESOURCE[-]",,,,,,,,,,,,,,
buffSpiritResourceName2,buffs,Buff,,x,"Spirit Total [d1d1d1]{cvar($spiritMax:0)}[-]",,,,,,,,,,,,,,
buffSpiritResourceDesc,buffs,Buff,,x,"[d1d1d1][I]Spirit is the mana, or arcane energy, required to perform all Sorcery[-][/I]:\n• Maximum Spirit: [ae92d5]{cvar(.spiritMaxTotalDisplay:0)}[-]\n• Available Maximum Spirit: [ae92d5]{cvar($spiritMax:0)}[-]\n• Reserved Maximum Spirit: [ae92d5]{cvar(.spiritMaxSubtractDisplay:0.0)}%[-]\n• Spirit Regeneration: [ae92d5]{cvar($spiritRegen:0.00)}/sec[-]\n\n[d1d1d1][I]Spirit is your life force as a Sorcerer, you are but mundane without it. Spells, Runes and other Sorceries cannot function without Spirit[I][-]",,,,,,,,,,,,,,
buffSorceryUIName,buffs,Buff,,x,"[ffffff][-]",,,,,,,,,,,,,,
buffSorceryUIDesc,buffs,Buff,,x,"The number reflected here is the current stat value.",,,,,,,,,,,,,,
buffSorceryUI_SpiritMaxDesc,buffs,Buff,,x,"[d1d1d1][I]Raising Max Spirit allows you to perform more frequent and powerful Sorceries before requiring rest[-][/I]:\n• Maximum Spirit: [ae92d5]{cvar(.spiritMaxTotalDisplay:0)}[-]\n• Available Maximum Spirit: [ae92d5]{cvar($spiritMax:0)}[-]\n• Reserved Maximum Spirit: [ae92d5]{cvar(.spiritMaxSubtractDisplay:0.0)}%[-]\n• Spirit Regeneration: [ae92d5]{cvar($spiritRegen:0.00)}/sec[-]\n\n[d1d1d1][I]Upon exhausting your Spirit to critical level, you'll begin drawing lifeforce from the world in the form a Spirit Aura. This aura will dissipate upon recovering above 10% of your Maximum Spirit.[I][-]",,,,,,,,,,,,,,
buffSorceryUI_SpiritRegenDesc,buffs,Buff,,x,"Increases the rate at which your Spirit Regenerates by [ae92d5]{cvar($spiritRegen:0.00)}/sec[-]. Raising Spirit Regen is key to quickly replenishing your Spirit.\n• Spirit Burden reduces regen by [ae92d5]-0.00[-] \n\n[d1d1d1][I]Spirit is your life force as a Sorcerer, you are but mundane without it.[I][-]",,,,,,,,,,,,,,
buffSorceryUI_SpellSpeedDesc,buffs,Buff,,x,"[d1d1d1][I]Showing highest Cast Speed first.[/I][-] Your total Spellcasting Speed for all Elements is [ae92d5]{cvar(.sorcerySpellSpeedDisplay:0)}%[-]. Increasing Casting Speed enables you to cast spells more quickly.\n• [dc6e00]Fire[-] Spellcasting Speed increased by [ae92d5]{cvar(.sorceryFireSpellSpeedDisplay:0)}%[-]\n• [006eaa]Ice[-] Spellcasting Speed increased by [ae92d5]{cvar(.sorceryIceSpellSpeedDisplay:0)}%[-]\n• [9650ff]Lightning[-] Spellcasting Speed increased by [ae92d5]{cvar(.sorceryLightningSpellSpeedDisplay:0)}%[-]\n\n[d1d1d1][I]What good is all that power if they get to you first?[I][-]",,,,,,,,,,,,,,
buffSorceryUI_SpellChargeDesc,buffs,Buff,,x,"[d1d1d1][I]Showing highest Charge Speed first.[/I][-] Decreases the time it takes all Spell Weapons to charge by [ae92d5]{cvar(.sorcerySpellChargeDisplay:0)}%[-]. Increasing Spell Charge enables you to more quickly charge up your spells and weapons for maximum devastation.\n• [dc6e00]Fire[-] Charge Speed increased by [ae92d5]{cvar(.sorceryFireSpellChargeDisplay:0)}%[-]\n• [006eaa]Ice[-] Charge Speed increased by [ae92d5]{cvar(.sorceryIceSpellChargeDisplay:0)}%[-]\n• [9650ff]Lightning[-] Charge Speed increased by [ae92d5]{cvar(.sorceryLightningSpellChargeDisplay:0)}%[-]\n\n[d1d1d1][I]Failure to charge your spells and weapons prior to use is a massive loss of power.[I][-]",,,,,,,,,,,,,,
buffSorceryUI_FirePowerDesc,buffs,Buff,,x,"You deal [ae92d5]{cvar(.fireSorceryDisplay:0)}%[-] total Fire Sorcery Damage. Applies to all Fire Sorcery: [d1d1d1][I]Spells, Weapons, Ammo, Potions, Runes and Abilities.[/I][-]\n• Total Fire [ae92d5]Essence[-] Find [ae92d5]{cvar(.sorceryFireHarvestTotalDisplay:0)}%[-]\n• Permanent [ae92d5]Damage[-] Boost [ae92d5]+{cvar(.sorceryFireDamagePermUI:0)}%[-]\n• Permanent [ae92d5]Essence Find[-] Boost [ae92d5]+{cvar(.sorceryFireHarvestPermUI:0)}%[-]\n[d1d1d1][I]Exploding and Cremating foes to mere ash are the specialties of a Fire Sorcerer.[/I][-]",,,,,,,,,,,,,,
buffSorceryUI_IcePowerDesc,buffs,Buff,,x,"You deal [ae92d5]{cvar(.iceSorceryDisplay:0)}%[-] total Ice Sorcery Damage. Applies to all Ice Sorcery: [d1d1d1][I]Spells, Weapons, Ammo, Potions, Runes and Abilities.[/I][-]\n• Total Ice [ae92d5]Essence[-] Find [ae92d5]{cvar(.sorceryIceHarvestTotalDisplay:0)}%[-]\n• Permanent [ae92d5]Damage[-] Boost [ae92d5]+{cvar(.sorceryIceDamagePermUI:0)}%[-]\n• Permanent [ae92d5]Essence Find[-] Boost [ae92d5]+{cvar(.sorceryIceHarvestPermUI:0)}%[-]\n\n\n[d1d1d1][I]Freezing and Shattering foes into bits are the specialties of an Ice Sorcerer.[/I][-]",,,,,,,,,,,,,,
buffSorceryUI_LightningPowerDesc,buffs,Buff,,x,"You deal [ae92d5]{cvar(.lightningSorceryDisplay:0)}%[-] total Lightning Sorcery Damage. Applies to all Lightning Sorcery: [d1d1d1][I]Spells, Weapons, Ammo, Potions, Runes and Abilities.[/I][-]\n• Total Lightning [ae92d5]Essence[-] Find [ae92d5]{cvar(.sorceryLightningHarvestTotalDisplay:0)}%[-]\n• Permanent [ae92d5]Damage[-] Boost [ae92d5]+{cvar(.sorceryLightningDamagePermUI:0)}%[-]\n• Permanent [ae92d5]Essence Find[-] Boost [ae92d5]+{cvar(.sorceryLightningHarvestPermUI:0)}%[-]\n[d1d1d1][I]Electrocuting and Debilitating foes amass are the specialties of a Lightning Sorcerer.[/I][-]",,,,,,,,,,,,,,
buffSorceryPerks_ArmorSetArcaneName,buffs,Buff,,x,"[c2b2ff]Arcane[-] Armor Set",,,,,,,,,,,,,,
buffSorceryPerks_ArmorSetArcaneDesc,buffs,Buff,,x,"You are wearing [ae92d5]{cvar(.ArcaneArmorSetPieces:0)}[-]/10 pieces of the [c2b2ff]Arcane Armor Set[-]. Complete this Armor Set to unlock:\n• Maximum Spirit is increased by [ae92d5]50[-]\n• Spirit Regeneration is increased by [ae92d5]1.0[-]\n\n[d1d1d1][I]Set Abilities coming soon![/I][-]",,,,,,,,,,,,,,
buffSorceryArmorSet_ArcaneName,buffs,Buff,,,Complete Arcane Armor Set,,,,,,,,,,,,,,
buffSorceryArmorSet_ArcaneDesc,buffs,Buff,,,All 10 Pieces of Arcane Armor Set,,,,,,,,,,,,,,
requirementFullSorcererArmorSet,Quest,Requirement Group,,,Wear Full Sorcerer Armor Set (10/10),,,,,,,,,,,,,,

summonFamiliarArcane_DurationName,buffs,Buff,,,"[ae92d5]Summon[-]: Arcane Familiar",,,,,,,,,,,,,,
summonFamiliarArcane_DurationDesc,buffs,Buff,,,"You have active Arcane Familiar Summons that will Despawn when this buff expires.\n\nSummoning new Arcane Familiars will replace existing summons.",,,,,,,,,,,,,,
summonFamiliarFire_DurationName,buffs,Buff,,,"[ae92d5]Summon[-]: Fire Familiar",,,,,,,,,,,,,,
summonFamiliarFire_DurationDesc,buffs,Buff,,,"You have active Fire Familiar Summons that will Despawn when this buff expires.\n\nSummoning new Fire Familiars will replace existing summons.",,,,,,,,,,,,,,
summonFamiliarIce_DurationName,buffs,Buff,,,"[ae92d5]Summon[-]: Ice Familiar",,,,,,,,,,,,,,
summonFamiliarIce_DurationDesc,buffs,Buff,,,"You have active Ice Familiar Summons that will Despawn when this buff expires.\n\nSummoning new Ice Familiars will replace existing summons.",,,,,,,,,,,,,,
summonFamiliarLightning_DurationName,buffs,Buff,,,"[ae92d5]Summon[-]: Lightning Familiar",,,,,,,,,,,,,,
summonFamiliarLightning_DurationDesc,buffs,Buff,,,"You have active Lightning Familiar Summons that will Despawn when this buff expires.\n\nSummoning new Lightning Familiars will replace existing summons.",,,,,,,,,,,,,,

buffSorceryPerks_ArmorSetFireName,buffs,Buff,,x,"[dc6e00]Fire[-] Armor Set",,,,,,,,,,,,,,
buffSorceryPerks_ArmorSetFireDesc,buffs,Buff,,x,"You are wearing [dc6e00]{cvar(.FireArmorSetPieces:0)}[-]/10 pieces of the [dc6e00]Fire Armor Set[-]. Complete this Armor Set to unlock:\n• Maximum Spirit is increased by [ae92d5]50[-]\n• Spirit Regeneration is increased by [ae92d5]1.0[-]\n\n[d1d1d1][I]Set Abilities coming soon![/I][-]",,,,,,,,,,,,,,
buffSorceryPerks_ArmorSetIceName,buffs,Buff,,x,"[006eaa]Ice[-] Armor Set",,,,,,,,,,,,,,
buffSorceryPerks_ArmorSetIceDesc,buffs,Buff,,x,"You are wearing [006eaa]{cvar(.IceArmorSetPieces:0)}[-]/10 pieces of the [006eaa]Ice Armor Set[-]. Complete this Armor Set to unlock:\n• Maximum Spirit is increased by [ae92d5]50[-]\n• Spirit Regeneration is increased by [ae92d5]1.0[-]\n\n[d1d1d1][I]Set Abilities coming soon![/I][-]",,,,,,,,,,,,,,
buffSorceryPerks_ArmorSetLightningName,buffs,Buff,,x,"[9650ff]Lightning[-] Armor Set",,,,,,,,,,,,,,
buffSorceryPerks_ArmorSetLightningDesc,buffs,Buff,,x,"You are wearing [9650ff]{cvar(.LightningArmorSetPieces:0)}[-]/10 pieces of the [9650ff]Lightning Armor Set[-]. Complete this Armor Set to unlock:\n• Maximum Spirit is increased by [ae92d5]50[-]\n• Spirit Regeneration is increased by [ae92d5]1.0[-]\n\n[d1d1d1][I]Set Abilities coming soon![/I][-]",,,,,,,,,,,,,,
buffSorceryPerk_AttFireName,buffs,Buff,,x,"Fire Sorcerer",,,,,,,,,,,,,,
buffSorceryPerk_AttFireDesc,buffs,Buff,,x,"Your training in Fire Sorcery is granting you the following perks:\n• Hot weather resists increased by [ae92d5]+50[-]\n• Cold weather resists increased by [ae92d5]+25[-]\n• Movement Speed increased by [ae92d5]+10%[-]\n\n[36dc2a]Fire Sorcery is improved by consuming Fire Elixirs[-]",,,,,,,,,,,,,,
buffSorceryPerk_AttIceName,buffs,Buff,,x,"Ice Sorcerer",,,,,,,,,,,,,,
buffSorceryPerk_AttIceDesc,buffs,Buff,,x,"Your training in Ice Sorcery is granting you the following perks:\n• Cold weather resists increased by [ae92d5]+50[-]\n• Hot weather resists increased by [ae92d5]+25[-]\n• Movement Speed increased by [ae92d5]+10%[-]\n\n[36dc2a]Ice Sorcery is improved by consuming Ice Elixirs[-]",,,,,,,,,,,,,,
buffSorceryPerk_AttLightningName,buffs,Buff,,x,"Lightning Sorcerer",,,,,,,,,,,,,,
buffSorceryPerk_AttLightningDesc,buffs,Buff,,x,"Your training in Lightning Sorcery is granting you the following perks:\n• Hot weather resists increased by [ae92d5]+50[-]\n• Movement Speed increased by [ae92d5]+15%[-]\n\n[36dc2a]Lightning Sorcery is improved by consuming Lightning Elixirs[-]",,,,,,,,,,,,,,
buffSorceryPerk_SpiritMastery_AllyName,buffs,Buff,,x,"Ally [ae92d5]Spirit[-] Boost",,,,,,,,,,,,,,
buffSorceryPerk_SpiritMastery_AllyDesc,buffs,Buff,,x,"Your [ae92d5]Spirit[-] is boosted by a [e60000]Master[-] Spiritist ally:\n• Maximum Spirit is increased by [ae92d5]50[-]\n• Spirit Regeneration is increased by [ae92d5].5[-]",,,,,,,,,,,,,,
buffSorceryPerk_EssenceMastery_AllyName,buffs,Buff,,x,"Ally [ae92d5]Essence[-] Boost",,,,,,,,,,,,,,
buffSorceryPerk_EssenceMastery_AllyDesc,buffs,Buff,,x,"All [ae92d5]Essence[-] Harvesting is boosted by a [e60000]Master[-] Empath ally:\n• All Essence Find is increased by [ae92d5]50%[-]",,,,,,,,,,,,,,
buffSorceryPerk_RuneMastery_AllyName,buffs,Buff,,x,"Ally [ae92d5]Rune Effectiveness[-] Boost",,,,,,,,,,,,,,
buffSorceryPerk_RuneMastery_AllyDesc,buffs,Buff,,x,"Your [ae92d5]Rune Effectiveness[-] is boosted by a [e60000]Master[-] Enchanter ally:\n• Maximum Rune Effectiveness is increased by [ae92d5]25%[-]",,,,,,,,,,,,,,
buffPlayer_FireTouchedName,buffs,Buff,,x,"Fire [ae92d5]Touched[-]",,,,,
buffPlayer_FireTouchedDesc,buffs,Buff,,x,"A recent encounter has left you Fire Touched, imbuing you with supernatural power for a limited time:\n• [ae92d5]TOUCHED[-]: Attackers may become Touched\n• [ae92d5]HARVEST[-]: +100% Fire Essence Find\n• [ae92d5]HASTE[-]: +Attack, Harvest, Movement Speed\n• [ae92d5]REGEN[-]: +Health, Stamina, Spirit Regen\n• [ae92d5]FORTUNE[-]: +Loot Bonus and increased Luck",,,,,
buffPlayer_IceTouchedName,buffs,Buff,,x,"Ice [ae92d5]Touched[-]",,,,,
buffPlayer_IceTouchedDesc,buffs,Buff,,x,"A recent encounter has left you Ice Touched, imbuing you with supernatural power for a limited time:\n• [ae92d5]TOUCHED[-]: Attackers may become Touched\n• [ae92d5]HARVEST[-]: +100% Ice Essence Find\n• [ae92d5]HASTE[-]: +Attack, Harvest, Movement Speed\n• [ae92d5]REGEN[-]: +Health, Stamina, Spirit Regen\n• [ae92d5]FORTUNE[-]: +Loot Bonus and increased Luck",,,,,
buffPlayer_LightningTouchedName,buffs,Buff,,x,"Lightning [ae92d5]Touched[-]",,,,,
buffPlayer_LightningTouchedDesc,buffs,Buff,,x,"A recent encounter has left you Lightning Touched, imbuing you with supernatural power for a limited time:\n• [ae92d5]TOUCHED[-]: Attackers may become Touched\n• [ae92d5]HARVEST[-]: +100% Lightning Essence Find\n• [ae92d5]HASTE[-]: +Attack, Harvest, Movement Speed\n• [ae92d5]REGEN[-]: +Health, Stamina, Spirit Regen\n• [ae92d5]FORTUNE[-]: +Loot Bonus and increased Luck",,,,,
spellcastAmmo_FireName,buffs,Buff,,x,Fire Spell,,,,,
spellcastAmmo_FireDesc,buffs,Buff,,x,Requires Spell Fire,,,,,
spellcastAmmo_Fire2Name,buffs,Buff,,x,Firenado Spell,,,,,
spellcastAmmo_Fire2Desc,buffs,Buff,,x,Requires Spell Firenado,,,,,
spellcastAmmo_Fire3Name,buffs,Buff,,x,Meteor Spell,,,,,
spellcastAmmo_Fire3Desc,buffs,Buff,,x,Requires Spell Meteor,,,,,
buffSorceryIntroName,buffs,Buff,,x,"Blessed by The Elders",,,,,,,,,,,,,,
buffSorceryIntroDesc,buffs,Buff,,x,"Chosen by The Elders to perform impossible feats, you've received their blessing to aid your Ascension. Make haste to prove yourself worthy, as this blessing won't last forever:\n• Spell [ae92d5]Casting Speed[-] increased for a limited time\n• Spell [ae92d5]Charging Speed[-] increased for a limited time\n• Fire [2f9970]Essence[-]: Burnt + Wasteland Biome, Coal Ore, Boulders\n• Ice [2f9970]Essence[-]: Snow Biome, Potassium Nitrate, Boulders\n• Lightning [2f9970]Essence[-]: Desert Biome, Lead Ore, Boulders\nGood luck, Initiate... you're gonna need it to survive what's to come!  [I][d1d1d1]Unknown[-][/I]",,,,,,,,,,,,,,
spellcastFire_ExplosiveShieldName,buffs,Buff,,x,"Explosive Shield",,,,,,,,,,,,,,
spellcastFire_ExplosiveShieldDesc,buffs,Buff,,x,"This is a Fire Spellcast Weapon [36dc2a]Primary[-] Ability. Spell Charges grant an Explosive Shield that burns and explodes attackers while raising your defenses. Your [ae92d5]{cvar(.spellcastFire_ExplosiveShield:0)}[-] Fire Charge(s) is granting you [ae92d5]{cvar(.spellcastFire_ExplosiveShield_count:0)}%[-] increased defenses against Physical and Elemental damage.\n[d1d1d1][I][U]Unlock Abilities via Fire Spellcast Perk[/U]:[/I][-]\n[I][36dc2a]Primary[-]: Hold Primary Action to use[/I]\n[I][407fff]Secondary[-]: Hold Secondary Action to use[/I]",,,,,,,,,,,,,,
spellcastIce_ShieldName,buffs,Buff,,x,"Freezing Shield",,,,,,,,,,,,,,
spellcastIce_ShieldDesc,buffs,Buff,,x,"This is an Ice Spellcast Weapon [36dc2a]Primary[-] Ability. Spell Charges grant a Freezing Shield that [I]Chills and Freezes[/I] attackers while raising your defenses. Your [ae92d5]{cvar(.spellcastIce_Shield:0)}[-] Ice Charge(s) is granting you [ae92d5]{cvar(.spellcastIce_Shield_count:0)}%[-] increased defenses against Physical and Elemental damage.\n[d1d1d1][I][U]Unlock Abilities via Ice Spellcast Perk[/U]:[/I][-]\n[I][36dc2a]Primary[-]: Hold Primary Action to use[/I]\n[I][407fff]Secondary[-]: Hold Secondary Action to use[/I]",,,,,,,,,,,,,,
spellcastLightning_ShieldName,buffs,Buff,,x,"Electric Shield",,,,,,,,,,,,,,
spellcastLightning_ShieldDesc,buffs,Buff,,x,"This is a Lightning Spellcast Weapon [36dc2a]Primary[-] Ability. Spell Charges grant an Electric Shield that [I]Shocks and Electrocutes[/I] attackers while raising your defenses. Your [ae92d5]{cvar(.spellcastLightning_Shield:0)}[-] Lightning Charge(s) is granting you [ae92d5]{cvar(.spellcastLightning_Shield_count:0)}%[-] increased defenses against Physical and Elemental damage.\n[d1d1d1][I][U]Unlock Abilities via Lightning Spellcast Perk[/U]:[/I][-]\n[I][36dc2a]Primary[-]: Hold Primary Action to use[/I]\n[I][407fff]Secondary[-]: Hold Secondary Action to use[/I]",,,,,,,,,,,,,,

buffSorcerySupportPerkSilverName,buffs,Buff,,x,"[d7dce4]Silver[-] Supporter",,,,,,,,,,,,,,
