


















SORCERY_START,,LOCALIZATION,,START,,,,,
resourceEssenceLightning5Desc,items,Item,New,"[bf0000]PRIMAL[-] [5c009d]LIGHTNING ESSENCE[-] can be transmuted into [5c009d]LIGHTNING 5[-] at a [5c009d]LIGHTNING CONJURE[-]. Primal Lightning Essence is an extremely rare and potent concentration of [5c009d]LIGHTNING[-]. This process of transmutation is required to craft spells and to perform other powerful sorceries at a [5c009d]LIGHTNING CONJURE[-].",,,,,


conjureFire,blocks,Workstation,New,"[970000]FIRE[-] Conjure",,,,,
conjureFireDesc,blocks,Workstation,New,"A [970000]FIRE CONJURE[-] is capable of transmuting [970000]FIRE ESSENCE[-] into its raw elemental form of [970000]FIRE[-], Tiers 1-5. You can craft [970000]FIRE SPELLS[-] and other powerful [970000]FIRE SORCERIES[-] through this process of transmutation and conjuration.",,,,,

conjureIce,blocks,Workstation,New,"[02599c]ICE[-] Conjure",,,,,
conjureIceDesc,blocks,Workstation,New,"An [02599c]ICE CONJURE[-] is capable of transmuting [02599c]ICE ESSENCE[-] into its raw elemental form of [02599c]ICE[-], Tiers 1-5. You can craft [02599c]ICE SPELLS[-] and other powerful [02599c]ICE SORCERIES[-] through this process of transmutation and conjuration.",,,,,

conjureLightning,blocks,Workstation,New,"[5c009d]LIGHTNING[-] Conjure",,,,,
conjureLightningDesc,blocks,Workstation,New,"An [5c009d]LIGHTNING CONJURE[-] is capable of transmuting [5c009d]LIGHTNING ESSENCE[-] into its raw elemental form of [5c009d]LIGHTNING[-], Tiers 1-5. You can craft [5c009d]LIGHTNING SPELLS[-] and other powerful [5c009d]LIGHTNING SORCERIES[-] through this process of transmutation and conjuration.",,,,,

toolFireCore,items,Item,New,"Fire Core",,,,,
toolFireCoreDesc,items,Item,New,"A [970000]FIRE CORE[-] [Augment] is required to craft upper level [970000]FIRE SORCERIES[-], such as [Tier 3] [970000]FIRE SPELLS[-], at a [970000]FIRE CONJURE[-].",,,,,

toolIceCore,items,Item,New,"Ice Core",,,,,
toolIceCoreDesc,items,Item,New,"An [02599c]ICE CORE[-] [Augment] is required to craft upper level [02599c]ICE SORCERIES[-], such as [Tier 3] [02599c]ICE SPELLS[-], at an [02599c]ICE CONJURE[-].",,,,,

toolLightningCore,items,Item,New,"Lightning Core",,,,,
toolLightningCoreDesc,items,Item,New,"A [5c009d]LIGHTNING CORE[-] [Augment] is required to craft upper level [5c009d]LIGHTNING SORCERIES[-], such as [Tier 3] [5c009d]LIGHTNING SPELLS[-], at a [5c009d]LIGHTNING CONJURE[-].",,,,,

toolLoomFire,items,Item,New,"Fire Loom",,,,,
toolLoomFireDesc,items,Item,New,"A [970000]FIRE LOOM[-] [Augment] is required to craft [970000]FIRE ARMOR[-] at a [970000]FIRE CONJURE[-].",,,,,

toolLoomIce,items,Item,New,"Ice Loom",,,,,
toolLoomIceDesc,items,Item,New,"An [02599c]ICE LOOM[-] [Augment] is required to craft [02599c]ICE ARMOR[-] at an [02599c]ICE CONJURE[-].",,,,,

toolLoomLightning,items,Item,New,"Lightning Loom",,,,,
toolLoomLightningDesc,items,Item,New,"A [5c009d]LIGHTNING LOOM[-] [Augment] is required to craft [5c009d]LIGHTNING ARMOR[-] at a [5c009d]LIGHTNING CONJURE[-].",,,,,

toolHammerFire,items,Item,New,"Fire Hammer",,,,,
toolHammerFireDesc,items,Item,New,"A [970000]FIRE HAMMER[-] [Augment] is required to craft [Runes] at a [970000]FIRE CONJURE[-].",,,,,

toolHammerIce,items,Item,New,"Ice Hammer",,,,,
toolHammerIceDesc,items,Item,New,"An [02599c]ICE HAMMER[-] [Augment] is required to craft [Runes] at an [02599c]ICE CONJURE[-].",,,,,

toolHammerLightning,items,Item,New,"Lightning Hammer",,,,,
toolHammerLightningDesc,items,Item,New,"A [5c009d]LIGHTNING HAMMER[-] [Augment] is required to craft [Runes] at a [5c009d]LIGHTNING CONJURE[-].",,,,,


spellcastFire,items,Spellcast,New,"[970000]FIRE[-] SPELLCAST",,,,,
spellcastFireDesc,items,Spellcast,New,"Invoke the incinerating force of [970000]FIRE[-] by casting your spells through this [970000]FIRE SPELLCAST[-]. Unlock these spellcast abilities through [Spellcast Mastery] and [970000]FIRE SPELLCAST[-]:\n\n[970000]CAUTERIZE[-]: Cauterize wounds on spellcasting\n[970000]BLAZING[-]: Move with blazing speed\n[970000]FIRE FLIGHT[-]: Fire Flight on jump while channeling\n[970000]EMPOWER[-]: Fire Stacks empower you\n[970000]METEOR LAND[-]: Explode on landing a Fire Flight",,,,,

spellcastIce,items,Spellcast,New,"[02599c]ICE[-] SPELLCAST",,,,,
spellcastIceDesc,items,Spellcast,New,"Invoke the freezing force of [02599c]ICE[-] by casting your spells through this [02599c]ICE SPELLCAST[-]. Unlock these spellcast abilities through [Spellcast Mastery] and [02599c]ICE SPELLCAST[-]:\n\n[02599c]METABOLIZE[-]: Slow metabolism on spellcasting\n[02599c]ICE AURA[-]: Freezing Ice Aura on channeling\n[02599c]ICE SHIELD[-]: Absorbing Ice Shield on channeling \n[02599c]EMPOWER[-]: Ice Stacks empower you\n[02599c]ICY DEATH[-]: Ice Shield attackers suffer",,,,,

spellcastLightning,items,Spellcast,New,"[5c009d]LIGHTNING[-] SPELLCAST",,,,,
spellcastLightningDesc,items,Spellcast,New,"Invoke the stunning force of [5c009d]LIGHTNING[-] by casting your spells through this [5c009d]LIGHTNING SPELLCAST[-]. Unlock these spellcast abilities through [6600cc]Spellcast Mastery[-] and [5c009d]LIGHTNING SPELLCAST[-]:\n\n[42c234]STRIKE[-]: Command Lightning Bolts from the sky\n[315dce]TELEPORT[-]: Open a rift and travel through it\n[315dce]ENERGY SHIELD[-]: Conjure a damage absorbing shield\n[a42acc]EMPOWER[-]: Lightning Stacks empower you\n[bf0000]SHOCK N AWE[-]: Charge Teleport and Energy Shield",,,,,


spellFireball,items,Spell,New,"[970000]FIRE[-] SPELL",,,,,
spellFireballDesc,items,Spell,New,"The primal manifestation of raw [970000]FIRE[-] that'll incinerate the flesh off your foes and ignite them into an eternal grave... or pile of ash. Cast this [970000]TIER 1[-] Spell through a [970000]FIRE SPELLCAST[-].\n\n[970000]DOT[-]: Sets foes ablaze on impact\n[970000]AOE[-]: Ignites nearby foes on impact\n[970000]STACK[-]: Consecutive impacts amplify intensity",,,,, 

spellFirestorm,items,Spell,New,"[970000]FIRENADO[-] SPELL",,,,,
spellFirestormDesc,items,Spell,New,"A highly destructive manifestation of [970000]FIRE[-] that'll incinerate your enemies to ash in a whirling inferno of destruction. Cast this [970000]TIER 2[-] Spell through a [970000]FIRE SPELLCAST[-].\n\n[970000]DOT[-]: Sets foes ablaze on impact\n[970000]AOE[-]: Spawns on nearby foes on impact\n[970000]AMPLIFY[-]: Empowered by enemy Burn Stacks",,,,, 

spellFireMeteor,items,Spell,New,"[970000]METEOR[-] SPELL",,,,,
spellFireMeteorDesc,items,Spell,New,"A cataclysmic manifestation of [970000]FIRE[-] that'll command the very stars unto your victim. Cast this [970000]TIER 3[-] Spell through a [970000]FIRE SPELLCAST[-].\n\n[970000]HOST[-]: Target victim becomes Spell host\n[970000]DOT[-]: Burn host and all nearby foes\n[970000]AOE[-]: Burn all foes near target host",,,,, 


spellIceBall,items,Spell,New,"[02599c]ICE[-] SPELL",,,,,
spellIceBallDesc,items,Spell,New,"The primal manifestation of [02599c]ICE[-] that'll freeze your foes solid while Iceburning their flesh from the inside out. Cast this [02599c]TIER 1[-] Spell through an [02599c]ICE SPELLCAST[-].\n\n[02599c]DOT[-]: Iceburn foes from the inside out\n[02599c]AOE[-]: Iceburn and slow nearby foes on impact\n[02599c]STACK[-]: Consecutive impacts amplify intensity",,,,, 

spellIceSpike,items,Spell,New,"[02599c]ICE SPIKE[-] SPELL",,,,,
spellIceSpikeDesc,items,Spell,New,"A highly destructive manifestation of [02599c]ICE[-] that'll Iceburn the flesh of your foes while shattering their animated corpse. Cast this [02599c]TIER 2[-] Spell through an [02599c]ICE SPELLCAST[-].\n\n[02599c]PRECISE[-]: Lethally accurate manifestation of Ice\n[02599c]SHATTER[-]: Chance to shatter limbs on impact\n[02599c]AMPLIFY[-]: Empowered by enemy Iceburn Stacks",,,,, 

spellIceStorm,items,Spell,New,"[02599c]ICE STORM[-] SPELL",,,,,
spellIceStormDesc,items,Spell,New,"A cataclysmic manifestation of [02599c]ICE[-] that'll render your victim a host of frozen storm capable of Iceburning and freezing amass. Cast this [02599c]TIER 3[-] Spell through an [02599c]ICE SPELLCAST[-].\n\n[02599c]HOST[-]: Target victim becomes Spell host\n[02599c]DOT[-]: Iceburn host and all nearby foes\n[02599c]AOE[-]: Iceburn all foes near target host",,,,, 


spellLightning,items,Spell,New,"[5c009d]LIGHTNING[-] SPELL",,,,,
spellLightningDesc,items,Spell,New,"The primal manifestation of raw [5c009d]LIGHTNING[-] that'll shockburn your foes while stunning their feasting efforts. Cast this [5c009d]TIER 1[-] Spell through a [5c009d]LIGHTNING SPELLCAST[-].\n\n[5c009d]STACK[-]: Consecutive hits apply [5c009d]Stacks[-]\n[5c009d]DOT[-]: Shockburns foes on impact\n[5c009d]CHAIN[-]: Chance to chain cast to nearby foes",,,,, 

spellLightningNova,items,Spell,New,"[5c009d]LIGHTNING NOVA[-] SPELL",,,,,
spellLightningNovaDesc,items,Spell,New,"A highly destructive manifestation of [5c009d]LIGHTNING[-] that'll shockburn your foes while stunning their feasting efforts. Cast this [5c009d]TIER 2[-] Spell through a [5c009d]LIGHTNING SPELLCAST[-].\n\n[5c009d]NOVA[-]: Shockburn foes amass on impact\n[5c009d]STACK[-]: Consecutive hits apply [5c009d]Stacks[-]",,,,, 

spellLightningStorm,items,Spell,New,"[5c009d]LIGHTNING STORM[-] SPELL",,,,,
spellLightningStormDesc,items,Spell,New,"A cataclysmic manifestation of [5c009d]LIGHTNING[-] that'll render your victim a host of electric storm capable of Shockburning and Electrocuting amass. Cast this [5c009d]TIER 3[-] Spell through a [5c009d]LIGHTNING SPELLCAST[-].\n\n[5c009d]STORM[-]: Shockburn host and all nearby foes\n[5c009d]HOST[-]: Target victim becomes Spell host",,,,, 

attsorcery,progression,Attribute,New,Sorcery,,,,,
attSorceryDesc,progression,Attribute,New,"Sorcery is the measure of your spellcasting, crafting and overall ability as a Sorcerer. Increasing Sorcery grants knowledge and access to devastating spells and conjurations, rendering you capable of raw elemental annihilation. If the world thought the apocalyptic aftermath of animated corpse (and acid spitting fiends) was the only sight to fear, wait until they meet a sorcerer...\n\n[6600cc]SPIRIT[-]: This is your available Spellcasting Stamina while a Spellcast is equipped. Spirit augments and coincides with Stamina as a dual resource.",,,,,
attSorceryName,progression,Attribute,New,Attribute: Sorcery,,,,,
attSorceryRank1Desc,progression,Attribute,New,"You have no idea what Sorcery is, let alone how to invoke or cast it.",,,,,
attSorceryRank2Desc,progression,Attribute,New,"Spellcasting is [6600cc]10%[-] faster. Your max Spirit is increased by [6600cc]20.[-]\nYou can now craft a [6600cc]Loom[-] Augment at a [Conjure]",,,,,
attSorceryRank3Desc,progression,Attribute,New,"Spellcasting is [6600cc]15%[-] faster. Your max Spirit is increased by [6600cc]30.[-]",,,,,
attSorceryRank4Desc,progression,Attribute,New,"Spellcasting is [6600cc]20%[-] faster. Your max Spirit is increased by [6600cc]40.[-]\nYou can now craft [42c234]RARE[-] Sorcerer Armor at a [Conjure].",,,,,
attSorceryRank5Desc,progression,Attribute,New,"Spellcasting is [6600cc]25%[-] faster. Your max Spirit is increased by [6600cc]50.[-]",,,,,
attSorceryRank6Desc,progression,Attribute,New,"Spellcasting is [6600cc]30%[-] faster. Your max Spirit is increased by [6600cc]60.[-]\nYou can now craft [315dce]EPIC[-] Sorcerer Armor at a [Conjure].",,,,,
attSorceryRank7Desc,progression,Attribute,New,"Spellcasting is [6600cc]35%[-] faster. Your max Spirit is increased by [6600cc]70.[-]",,,,,
attSorceryRank8Desc,progression,Attribute,New,"Spellcasting is [6600cc]40%[-] faster. Your max Spirit is increased by [6600cc]80.[-]\nYou can now craft [a42acc]LEGENDARY[-] Sorcerer Armor at a [Conjure].",,,,,
attSorceryRank9Desc,progression,Attribute,New,"Spellcasting is [6600cc]45%[-] faster. Your max Spirit is increased by [6600cc]90.[-]",,,,,
attSorceryRank10Desc,progression,Attribute,New,"Spellcasting is [6600cc]50%[-] faster and you have enough [6600cc]SPIRIT[-] to please The Elders.\nCongratulations, you're an apocalyptic zombie vanquishing Sorcerer... Harry Potter can kiss your ass!",,,,,


skillSorceryMasteryDesc,progression,Skill,New,"Master Sorcery to learn the art of invoking the elements and becoming a devastating sorcerer. The rising dead were just the start of aftermath anomalies...",,,,,
skillSorceryMasteryName,progression,Skill,New,"SORCERY MASTERY",,,,,

skillSorceryFireCraftingDesc,progression,Perk,New,"Specialize in spell crafting to learn and unlock devastating spells and their secrets. You've known for awhile now that something is different about you... it's time to embrace it.",,,,,
skillSorceryFireCraftingName,progression,Perk,New,"[970000]FIRE SORCERY[-]",,,,,
 
skillSorceryIceCraftingDesc,progression,Perk,New,"Specialize in spell crafting to learn and unlock devastating spells and their secrets. You've known for awhile now that something is different about you... it's time to embrace it.",,,,,
skillSorceryIceCraftingName,progression,Perk,New,"[02599c]ICE SORCERY[-]",,,,,

skillSorceryLightningCraftingDesc,progression,Perk,New,"Specialize in spell crafting to learn and unlock devastating spells and their secrets. You've known for awhile now that something is different about you... it's time to embrace it.",,,,,
skillSorceryLightningCraftingName,progression,Perk,New,"[5c009d]LIGHTNING SORCERY[-]",,,,,
 
 
perkSorcerySpellcastMasteryDesc,progression,Perk,New,"Master Spellcast to invoke and cast your spells with maximum devastation and effect. Learning Spellcast Mastery teaches you how to unlock the deepest secrets to Spellcast crafting and alteration, granting you transcendent spellcasting abilities.\n\nSPELLCAST: Hold [42c234]PRIMARY[-] Action Button\nCHANNEL: Hold [315dce]SECONDARY[-] Action Button",,,,,
perkSorcerySpellcastMasteryName,progression,Perk,New,"Spellcast Mastery",,,,,
perkSorcerySpellcastMasteryRank1Desc,progression,Perk,New,"Unlock and harness the transcendent power of Spellcasts.\nThe power of a Spellcast flows through you while equipped.",,,,,
perkSorcerySpellcastMasteryRank2Desc,progression,Perk,New,"You can now ALTER Spellcasts and have learned how to unlock their [42c234]PRIMARY[-] Action Abilities.",,,,,
perkSorcerySpellcastMasteryRank3Desc,progression,Perk,New,"You can now make TWO alterations to Spellcasts and have learned how to unlock their [315dce]SECONDARY[-] Action Abilities.",,,,,
perkSorcerySpellcastMasteryRank4Desc,progression,Perk,New,"You can now make THREE alterations to Spellcasts and have learned how to unlock their [a42acc]PASSIVE[-] Abilities.",,,,,
perkSorcerySpellcastMasteryRank5Desc,progression,Perk,New,"You are now a Master of Spellcasts and have learned how to make FOUR alterations, unlock their [bf0000]SPECIAL[-] Abilities and invoke the [bf0000]SPELL CHARGE[-] ability of any Spellcast for maximum devastation.",,,,,

perkSorceryFireMasteryDesc,progression,Perk,New,"Train to become a [970000]MASTER FIRE SORCERER[-]. Burn deeper down the explosive path of [970000]FIRE SORCERY[-] to invoke, wield and unlock its hottest secrets. Embrace this raw destructive force to incinerate your foes to the grave. [970000]FIRE SORCERERS[-] learn the secrets to awakening and harvesting even the most dormant of [970000]FIRE ESSENCE[-], fueling the creation of their devastating [970000]Fire Spells[-].",,,,,
perkSorceryFireMasteryName,progression,Perk,New,"[970000]FIRE MASTERY[-]",,,,,
perkSorceryFireMasteryRank1Desc,progression,Perk,New,"Take your first steps to becoming a FIRE SORCERER by learning [970000]TIER 1[-] FIRE SPELLCRAFTING, [970000]FIRE CONJURE[-] crafting and unlocking [970000]FIRE SPELLCAST[-].",,,,,
perkSorceryFireMasteryRank2Desc,progression,Perk,New,"Learn [970000]TIER 2[-] Fire Spellcrafting. You can now [970000]ALTER[-] FIRE SPELLS. You cast Fire Spells [970000]10%[-] faster. Awaken [42c234]FIRE 2[-] ESSENCE with a chance to harvest.\nYou have learned how to craft a [970000]FIRE CORE[-].",,,,,
perkSorceryFireMasteryRank3Desc,progression,Perk,New,"Learn [970000]TIER 3[-] Fire Spellcrafting. You can now make [970000]TWO[-] ALTERATIONS to FIRE SPELLS. You cast Fire Spells [970000]15%[-] faster.\nAwaken [315dce]FIRE 3[-] ESSENCE with a chance to harvest.",,,,,
perkSorceryFireMasteryRank4Desc,progression,Perk,New,"Learn [970000]TIER 4[-] Fire Spellcrafting. You can now make [970000]THREE[-] ALTERATIONS to FIRE SPELLS. You cast Fire Spells [970000]20%[-] faster.\nAwaken [a42acc]FIRE 4[-] ESSENCE with a chance to harvest.",,,,,
perkSorceryFireMasteryRank5Desc,progression,Perk,New,"You are now a [970000]MASTER FIRE SORCERER[-] and have unlocked [970000]TIER 5[-] Fire Spellcrafting along with the ability to make [970000]FOUR[-] ALTERATIONS to FIRE SPELLS. You cast Fire Spells [970000]25%[-] faster and can now perform [970000]FIRE RITUALS[-].\nAwaken [bf0000]FIRE 5[-] ESSENCE with a chance to harvest.",,,,,

perkSorceryIceMasteryDesc,progression,Perk,New,"Train to become a [02599c]MASTER ICE SORCERER[-]. Slide deeper down the freezing path of [02599c]ICE SORCERY[-] to invoke, wield and unlock its coldest secrets. Embrace this raw destructive force to Iceburn your foes beyond the grave. [02599c]ICE SORCERERS[-] learn the secrets to awakening and harvesting even the most dormant of [02599c]ICE ESSENCE[-], fueling the creation of their devastating [02599c]ICE SPELLS[-].",,,,,
perkSorceryIceMasteryName,progression,Perk,New,"[02599c]ICE MASTERY[-]",,,,,
perkSorceryIceMasteryRank1Desc,progression,Perk,New,"Take your first steps to becoming an ICE SORCERER by learning [02599c]TIER 1[-] ICE SPELLCRAFTING, [02599c]ICE CONJURE[-] crafting and unlocking [02599c]ICE SPELLCAST[-].",,,,,
perkSorceryIceMasteryRank2Desc,progression,Perk,New,"Learn [02599c]TIER 2[-] Ice Spellcrafting. You can now [02599c]ALTER[-] ICE SPELLS. You cast Ice Spells [02599c]10%[-] faster. Awaken [42c234]ICE 2[-] ESSENCE with a chance to harvest.\nYou have learned how to craft an [02599c]ICE CORE[-].",,,,,
perkSorceryIceMasteryRank3Desc,progression,Perk,New,"Learn [02599c]TIER 3[-] Ice Spellcrafting. You can now make [02599c]TWO[-] ALTERATIONS to ICE SPELLS. You cast Ice Spells [02599c]15%[-] faster.\nAwaken [315dce]ICE 3[-] ESSENCE with a chance to harvest.",,,,,
perkSorceryIceMasteryRank4Desc,progression,Perk,New,"Learn [02599c]TIER 4[-] Ice Spellcrafting. You can now make [02599c]THREE[-] ALTERATIONS to ICE SPELLS. You cast Ice Spells [02599c]20%[-] faster.\nAwaken [a42acc]ICE 4[-] ESSENCE with a chance to harvest.",,,,,
perkSorceryIceMasteryRank5Desc,progression,Perk,New,"You are now an [02599c]MASTER ICE SORCERER[-] and have unlocked [02599c]TIER 5[-] Ice Spellcrafting along with the ability to make [02599c]FOUR[-] ALTERATIONS to ICE SPELLS. You cast Ice Spells [02599c]25%[-] faster and can now perform [02599c]ICE RITUALS[-].\nAwaken [bf0000]ICE 5[-] ESSENCE with a chance to harvest.",,,,,

